"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV","Y"
97.0,0.5894783748489525,0.004261394171344764,6.0,0.0,0.46822009314432816,0.00904916518075488,0.7053049941319178,0.46822009314432816,-0.4792995337957601,-0.014581161504475405,0.2769540662972758,1.0,-1.1986948675556517,0.0,0.0,51,0.36131070361453527,0.0,0.0,2.0,3.0,0.2160474398624897,0.9107268620126644,-0.4501619939596997,0.13916893275819892,0.555572303587836,1
111.0,0.3718516058916724,-0.20364973375345766,6.0,0.0,-0.19977741953590084,-0.6876160564472671,-0.03415475021814662,-0.19977741953590084,2.3652449239788,-0.22913870847346665,0.18805244798235787,0.0,1.9686151425000176,1.0,2.0,40,0.3309012765959961,0.0,1.0,2.0,0.0,-0.9710530281074127,-0.06540053564292464,2.2214225399257583,0.13916893275819892,0.4060440291731311,0
125.0,-0.4986554699374479,1.2536151138194418,7.0,0.0,1.156793986853211,1.24105000479868,0.7053049941319178,1.156793986853211,-0.2889966766909829,1.2750226208038824,0.5065842288879917,1.0,-1.1107140339429942,0.0,0.0,36,-0.6345980312426215,0.0,0.0,2.0,0.0,0.1821302836347782,-0.06540053564292464,-0.4501619939596997,0.13916893275819892,-0.565889754522451,1
126.0,0.6620206311680458,0.8981570937256262,0.0,0.0,-0.14666630616648568,-0.0039810547052507176,0.04246039709085069,-0.14666630616648568,-0.34315467017526713,0.9080162904621869,-0.312844115471017,1.0,-0.14292486420376185,0.0,0.0,52,0.4826560133519751,0.0,0.0,0.0,0.0,0.5213018459118931,-1.0415279332985137,2.2214225399257583,0.13916893275819892,0.6303364407951885,1
126.0,-1.0064512641711014,-1.0471355535539617,5.0,0.0,-0.8481338412342329,-0.6943246845073888,-2.104246601379958,-0.8481338412342329,0.515791106485481,-1.099790649068689,-1.4144089275608842,0.0,-0.7587906994923642,0.0,0.0,24,-0.771586651994406,0.0,0.0,2.0,0.0,0.2160474398624897,-0.06540053564292464,-0.4501619939596997,0.13916893275819892,-1.0892387149739184,0
50.0,1.1698164254016994,0.7658425540102409,0.0,0.0,-0.8411191658835554,-0.6876160564472671,0.0011517692790871626,-0.8411191658835554,-0.3632347877594402,0.7719416356739582,-0.351665782857444,1.0,0.7368834719228129,0.0,0.0,59,1.2969853811080472,1.0,0.0,0.0,1.0,0.2160474398624897,-0.06540053564292464,-0.4501619939596997,0.13916893275819892,1.1536854012466558,1
38.0,-1.0064512641711014,-0.542517160510587,1.0,0.0,1.209838293790715,1.2926548360303853,0.7053756071709123,1.209838293790715,-0.870486886732244,-0.5792062851070839,0.20134886906220914,1.0,-0.4948481986543918,0.0,0.0,30,-1.0863534614699577,0.0,0.0,1.0,3.0,0.2160474398624897,-0.06540053564292464,-0.4501619939596997,0.13916893275819892,-1.1640028521812709,1
28.0,-1.0064512641711014,-0.12469856403420504,0.0,0.0,1.2028236184400376,1.2346639069337566,0.7053049941319178,1.2028236184400376,-0.870486886732244,-0.14783269067469101,-0.09456929059083094,1.0,-0.054944030591104386,1.0,0.0,30,-1.0863534614699577,1.0,0.0,0.0,3.0,-0.9371358718797012,0.9107268620126644,2.2214225399257583,0.13916893275819892,-1.1640028521812709,1
118.0,1.097274169082606,0.5120155916695656,1.0,0.0,-0.16664142930793868,-0.036298580264106185,0.6925240340739192,-0.16664142930793868,0.06652972053584921,0.5093909531987453,1.417243491605104,1.0,0.8248643055354704,0.0,0.0,57,0.862627651915356,0.0,0.0,1.0,0.0,0.2160474398624897,-0.06540053564292464,-0.4501619939596997,0.13916893275819892,1.0789212640393033,1
68.0,-0.933909007852008,-0.9850484484901318,1.0,1.0,1.2028236184400376,1.2603373104715299,0.7053049941319178,1.2028236184400376,-0.3895639045917999,-1.0359880101015941,-1.059675941817407,1.0,-0.4948481986543918,0.0,0.0,29,-1.0223182257289956,0.0,0.0,1.0,2.0,-0.36054421600860576,-0.06540053564292464,-0.4501619939596997,0.13916893275819892,-0.9397104405592135,1
50.0,0.9521896564444192,0.20299300149722244,5.0,0.0,-0.14666630616648568,-0.023268360378100584,0.7054462202099068,-0.14666630616648568,-0.44905437743453674,0.1903777583632715,0.1310816510927762,1.0,0.20899847024686805,0.0,0.0,56,0.7067793384453429,1.0,0.0,2.0,0.0,0.0803788149516437,-0.06540053564292464,2.2214225399257583,0.13916893275819892,0.9293929896245984,1
125.0,-0.4261132136183546,-1.0400070678455613,7.0,1.0,1.156793986853211,0.6472719154388705,0.6992322727783936,1.156793986853211,-0.870486886732244,-1.092450522461855,-1.1573124352942712,1.0,-0.054944030591104386,0.0,0.0,38,-0.5698317996598675,0.0,0.0,2.0,2.0,-0.42837852846402874,-0.06540053564292464,-0.4501619939596997,0.13916893275819892,-0.565889754522451,1
